path,section,current_ui_tab,current_ui_group,current_ui_order,proposed_level,proposed_tab,proposed_group,active_when,required_in_modes,required_when,enum,default,runtime_consumers,description
mapping.xes_adapter.lifecycle_key,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/xes_adapter.py; tools/experiment_ui.py; tools/simulate_versioned_log.py,XES parsing/mapping parameter (case/activity/time/version/lifecycle alignment).
mapping.xes_adapter.pairing_strategy,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/xes_adapter.py; tools/experiment_ui.py; tools/simulate_versioned_log.py,XES parsing/mapping parameter (case/activity/time/version/lifecycle alignment).
mapping.xes_adapter.resource_key,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/xes_adapter.py; tools/experiment_ui.py; tools/simulate_versioned_log.py,XES parsing/mapping parameter (case/activity/time/version/lifecycle alignment).
mapping.xes_adapter.start_transitions,mapping,input,core,4,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/xes_adapter.py; tools/experiment_ui.py; tools/simulate_versioned_log.py,XES parsing/mapping parameter (case/activity/time/version/lifecycle alignment).
mapping.xes_adapter.timestamp_key,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/xes_adapter.py; tools/experiment_ui.py; tools/simulate_versioned_log.py,XES parsing/mapping parameter (case/activity/time/version/lifecycle alignment).
mapping.xes_adapter.use_classifier,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,false|true,,src/adapters/ingestion/xes_adapter.py; src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py; tools/simulate_versioned_log.py,XES parsing/mapping parameter (case/activity/time/version/lifecycle alignment).
mapping.xes_adapter.version_key,mapping,input,advanced,1000,project_setup,Project Setup,Connection / Dataset / Adapter,always,,,,,src/adapters/ingestion/camunda_runtime_adapter.py; src/adapters/ingestion/camunda_trace_adapter.py; src/adapters/ingestion/xes_adapter.py; src/application/services/bpmn_structure_parser_service.py; src/application/services/instance_graph_assembler_service.py; src/application/services/topology_extractor_service.py; src/application/services/trace_sampling_policy.py; src/cli.py; src/domain/ports/camunda_runtime_port.py; src/domain/ports/instance_graph_port.py; src/domain/ports/knowledge_graph_port.py; src/domain/services/dynamic_graph_builder.py,XES parsing/mapping parameter (case/activity/time/version/lifecycle alignment).
model.candidate_pooling,model,model,core,33,advanced,model,core,always,,model.type=EOPKGTopologyConditioned,logmeanexp|mean|max,logmeanexp,,Aggregation policy from topology node scores to label-level logits in Stage 1.
model.candidate_scoring,model,model,core,32,advanced,model,core,always,,model.type=EOPKGTopologyConditioned,cosine|bilinear,cosine,,Scoring function between observed prefix state and topology candidate prototypes.
model.candidate_temperature_init,model,model,advanced,1032,advanced,model,advanced,always,,model.type=EOPKGTopologyConditioned,,0.1,,Fixed or initial temperature for topology candidate cosine scores.
model.candidate_temperature_max,model,model,advanced,1034,advanced,model,advanced,always,,model.type=EOPKGTopologyConditioned,,10.0,,Upper clamp for trainable candidate temperature.
model.candidate_temperature_min,model,model,advanced,1033,advanced,model,advanced,always,,model.type=EOPKGTopologyConditioned,,0.05,,Lower clamp for trainable candidate temperature.
model.candidate_temperature_trainable,model,model,advanced,1035,advanced,model,advanced,always,,model.type=EOPKGTopologyConditioned,false|true,False,,Allows candidate temperature to be optimized; canonical Stage 1 keeps it fixed.
model.cross_attention_heads,model,model,advanced,1000,advanced,Advanced,Rarely Changed,always,,,,,src/cli.py; src/domain/models/eopkg_models.py; tools/experiment_ui.py,Model architecture/hyperparameter.
model.dropout,model,model,advanced,1000,advanced,Advanced,Rarely Changed,always,,,sequential_prefix,sequential_prefix,src/cli.py; src/domain/models/baseline_gat.py; src/domain/models/baseline_gcn.py; src/domain/models/eopkg_models.py; tools/experiment_ui.py,Currently only sequential_prefix is implemented; prefix events are represented as a sequential event graph.
model.fusion_mode,model,model,advanced,1000,experiment_run,Experiment Run,Frequently Changed,always,,model.type=EOPKGGATv2,ClassMeanAttention|ClassMeanConcat|ClassAwareStructuralScoring|TopologyStateEncoder|TopologyStateGraphEncoder|StructuralPriorEncoder|StructXAttn,ClassMeanAttention,src/application/services/learning_strategy_config.py; src/application/services/structural_trace_payload_builder.py; src/application/use_cases/trainer.py; src/cli.py; src/domain/models/eopkg_models.py; tools/experiment_ui.py,"ClassMeanAttention keeps old Attention semantics; ClassMeanConcat keeps old Concat/struct_pool_concat semantics; ClassAwareStructuralScoring adds per-class structural logits to observed logits; TopologyStateEncoder projects observed prefix state onto topology nodes before structural message passing and pools node logits to classes; TopologyStateGraphEncoder projects observed prefix state onto topology nodes, performs topology message passing, then classifies a graph-level topology context; StructuralPriorEncoder uses etalon-like representation-level fusion with observed context plus pooled structural context before classifier; StructXAttn uses token-level structural cross-attention from observed IG nodes to structural nodes before pooling."
model.graph_strategy,model,model,advanced,1000,advanced,Advanced,Rarely Changed,always,,,,,tools/experiment_ui.py,Model architecture/hyperparameter.
model.hidden_dim,model,model,advanced,1000,advanced,Advanced,Rarely Changed,always,,,,,src/application/use_cases/trainer.py; src/cli.py; src/domain/models/baseline_gat.py; src/domain/models/baseline_gcn.py; src/domain/models/eopkg_models.py; tools/experiment_ui.py,Model architecture/hyperparameter.
model.model_label,model,model,advanced,1000,experiment_run,Experiment Run,Frequently Changed,always,,,GATv2|GCN,,src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py,Model architecture/hyperparameter.
model.observed_encoder,model,model,advanced,1030,advanced,model,advanced,always,,model.type=EOPKGTopologyConditioned,GATv2,GATv2,,Observed-prefix encoder used by EOPKGTopologyConditioned.
model.pooling_strategy,model,model,advanced,1000,experiment_run,Experiment Run,Frequently Changed,always,,,,,src/cli.py; src/domain/models/baseline_gat.py; src/domain/models/baseline_gcn.py; src/domain/models/eopkg_models.py; tools/experiment_ui.py,Model architecture/hyperparameter.
model.struct_encoder,model,model,advanced,1031,advanced,model,advanced,always,,model.type=EOPKGTopologyConditioned,GATv2,GATv2,,Structural encoder used to produce topology candidate prototypes.
model.struct_encoder_type,model,model,advanced,1000,advanced,Advanced,Conditional Fine Tune,always,,model.type=EOPKGGATv2,GATv2Conv|GCNConv,GATv2Conv,src/cli.py; src/domain/models/eopkg_models.py; tools/experiment_ui.py,Encoder type for structural branch of EOPKGGATv2.
model.struct_hidden_dim,model,model,advanced,1000,advanced,Advanced,Rarely Changed,always,,,global_mean|last_node,global_mean,src/application/use_cases/trainer.py; src/cli.py; src/domain/models/eopkg_models.py; tools/experiment_ui.py,global_mean pools all prefix node embeddings; last_node uses the final prefix node embedding as the process state.
model.struct_xattn_delta_ratio_max,model,model,advanced,1025,advanced,model,advanced,always,,model.type=EOPKGGATv2; model.fusion_mode=StructXAttn,,,,Optional cap for mean_abs(delta) divided by mean_abs(observed) in StructXAttn residual merge.
model.struct_xattn_dropout,model,model,advanced,1018,advanced,Advanced,Fusion Fine Tune,always,,model.type=EOPKGGATv2; model.fusion_mode=StructXAttn,,0.2,src/cli.py; src/domain/models/eopkg_models.py,Dropout used inside and after StructXAttn.
model.struct_xattn_gate_init_bias,model,model,advanced,1023,advanced,Advanced,Fusion Fine Tune,always,,model.type=EOPKGGATv2; model.fusion_mode=StructXAttn; model.struct_xattn_use_gate=true,,-2.0,src/cli.py; src/domain/models/eopkg_models.py,Initial sigmoid gate bias for structural attention delta.
model.struct_xattn_heads,model,model,advanced,1017,advanced,Advanced,Fusion Fine Tune,always,,model.type=EOPKGGATv2; model.fusion_mode=StructXAttn,,4,src/cli.py; src/domain/models/eopkg_models.py,Number of heads for token-level structural cross-attention.
model.struct_xattn_layers,model,model,advanced,1016,advanced,Advanced,Fusion Fine Tune,always,,model.type=EOPKGGATv2; model.fusion_mode=StructXAttn,post_conv2|after_each_conv,post_conv2,src/cli.py; src/domain/models/eopkg_models.py,Injection placement for token-level structural cross-attention.
model.struct_xattn_merge_mode,model,model,advanced,1024,advanced,model,advanced,always,,model.type=EOPKGGATv2; model.fusion_mode=StructXAttn,post_norm_residual|pre_norm_context|residual_only,post_norm_residual,,Residual merge semantics for token-level structural cross-attention.
model.struct_xattn_scale_init,model,model,advanced,1019,advanced,Advanced,Fusion Fine Tune,always,,model.type=EOPKGGATv2; model.fusion_mode=StructXAttn,,0.1,src/cli.py; src/domain/models/eopkg_models.py,Initial gamma multiplier for structural cross-attention delta.
model.struct_xattn_scale_max,model,model,advanced,1020,advanced,Advanced,Fusion Fine Tune,always,,model.type=EOPKGGATv2; model.fusion_mode=StructXAttn,,2.0,src/cli.py; src/domain/models/eopkg_models.py,Upper clamp for learned StructXAttn gamma.
model.struct_xattn_use_gate,model,model,advanced,1022,advanced,Advanced,Fusion Fine Tune,always,,model.type=EOPKGGATv2; model.fusion_mode=StructXAttn,false|true,true,src/cli.py; src/domain/models/eopkg_models.py,Use a sigmoid gate over the structural attention delta.
model.struct_xattn_use_layer_norm,model,model,advanced,1021,advanced,Advanced,Fusion Fine Tune,always,,model.type=EOPKGGATv2; model.fusion_mode=StructXAttn,false|true,true,src/cli.py; src/domain/models/eopkg_models.py,Apply LayerNorm after residual structural cross-attention update.
model.structural_logit_scale_init,model,model,advanced,1002,advanced,Advanced,Conditional Fine Tune,always,,model.type=EOPKGGATv2; model.fusion_mode=ClassAwareStructuralScoring,,0.1,src/cli.py; src/domain/models/eopkg_models.py,Initial gamma multiplier for normalized structural logits.
model.structural_logit_scale_max,model,model,advanced,1003,advanced,Advanced,Conditional Fine Tune,always,,model.type=EOPKGGATv2; model.fusion_mode=ClassAwareStructuralScoring,,2.0,src/cli.py; src/domain/models/eopkg_models.py,Upper clamp for learned structural logit gamma.
model.structural_observed_scale_max,model,model,advanced,1005,advanced,Advanced,Conditional Fine Tune,always,,model.type=EOPKGGATv2; model.fusion_mode=ClassAwareStructuralScoring,,10.0,src/cli.py; src/domain/models/eopkg_models.py,Upper clamp for detached observed-logit magnitude used to scale structural logits.
model.structural_observed_scale_min,model,model,advanced,1004,advanced,Advanced,Conditional Fine Tune,always,,model.type=EOPKGGATv2; model.fusion_mode=ClassAwareStructuralScoring,,1.0,src/cli.py; src/domain/models/eopkg_models.py,Lower clamp for detached observed-logit magnitude used to scale structural logits.
model.structural_prior_fusion,model,model,advanced,1014,advanced,Advanced,Fusion Fine Tune,always,,model.type=EOPKGGATv2; model.fusion_mode=StructuralPriorEncoder,concat|gated_concat,concat,src/cli.py; src/domain/models/eopkg_models.py,Fusion operator for observed context and pooled structural context in StructuralPriorEncoder.
model.structural_prior_gate_init_bias,model,model,advanced,1015,advanced,Advanced,Fusion Fine Tune,always,,model.type=EOPKGGATv2; model.fusion_mode=StructuralPriorEncoder; model.structural_prior_fusion=gated_concat,,-1.0,src/cli.py; src/domain/models/eopkg_models.py,Initial sigmoid gate bias for gated_concat; negative values start with conservative structural influence.
model.structural_prior_pooling,model,model,advanced,1013,advanced,Advanced,Fusion Fine Tune,always,,model.type=EOPKGGATv2; model.fusion_mode=StructuralPriorEncoder,mean,mean,src/cli.py; src/domain/models/eopkg_models.py,Pooling strategy for structural node embeddings in StructuralPriorEncoder; mean mirrors etalon global_mean_pool.
model.structural_score_mode,model,model,advanced,1001,experiment_run,Experiment Run,Frequently Changed,always,,model.type=EOPKGGATv2; model.fusion_mode=ClassAwareStructuralScoring,bilinear_with_prior|cosine,bilinear_with_prior,src/cli.py; src/domain/models/eopkg_models.py,Scoring function used by ClassAwareStructuralScoring before node-to-class late pooling.
model.structural_stats_beta,model,model,advanced,1006,advanced,Advanced,Conditional Fine Tune,always,,model.type=EOPKGGATv2; model.fusion_mode=ClassAwareStructuralScoring,,0.1,src/cli.py; src/domain/models/eopkg_models.py,Fixed beta multiplier for additive stats projection in structural node features.
model.topology_graph_pooling,model,model,advanced,1012,advanced,Advanced,Fusion Fine Tune,always,,model.type=EOPKGGATv2; model.fusion_mode=TopologyStateGraphEncoder,mean,mean,src/cli.py; src/domain/models/eopkg_models.py,Graph-level pooling strategy for TopologyStateGraphEncoder; mean mirrors etalon/article-style global_mean_pool.
model.topology_state_beta,model,model,advanced,1007,advanced,Advanced,Fusion Fine Tune,always,,model.type=EOPKGGATv2,,0.5,src/cli.py; src/domain/models/eopkg_models.py,Scales gated observed prefix-state projection before topology message passing in TopologyStateEncoder and TopologyStateGraphEncoder.
model.topology_state_beta_max,model,model,advanced,1008,advanced,Advanced,Fusion Fine Tune,always,,model.type=EOPKGGATv2,,2.0,src/cli.py; src/domain/models/eopkg_models.py,Forward-time upper clamp for topology_state_beta.
model.topology_state_class_pooling,model,model,advanced,1010,advanced,Advanced,Fusion Fine Tune,always,,model.type=EOPKGGATv2; model.fusion_mode=TopologyStateEncoder,logmeanexp|mean|max|logsumexp,logmeanexp,src/cli.py; src/domain/models/eopkg_models.py,Node-to-class pooling for TopologyStateEncoder; logmeanexp is cardinality-normalized and is the default.
model.topology_state_dropout,model,model,advanced,1011,advanced,Advanced,Fusion Fine Tune,always,,model.type=EOPKGGATv2,,0.2,src/cli.py; src/domain/models/eopkg_models.py,Dropout applied to prefix-state projection in TopologyStateEncoder and TopologyStateGraphEncoder.
model.topology_state_gate_init_bias,model,model,advanced,1009,advanced,Advanced,Fusion Fine Tune,always,,model.type=EOPKGGATv2,,-2.0,src/cli.py; src/domain/models/eopkg_models.py,Initial bias for sigmoid gate over prefix-state projection.
model.type,model,model,advanced,1000,experiment_run,Experiment Run,Frequently Changed,always,,,BaselineGATv2|BaselineGCN|EOPKGGATv2|EOPKGTopologyConditioned,BaselineGATv2,src/domain/models/factory.py; tools/experiment_ui.py,Main model type (baseline or EOPKG).
seed,seed,general,advanced,1000,experiment_run,Experiment Run,Frequently Changed,always,,,,,src/application/services/topology_payload_pool.py; src/application/services/trace_sampling_policy.py; src/application/use_cases/trainer.py; src/cli.py; src/tools/inspect_data.py; tools/experiment_ui.py; tools/simulate_versioned_log.py; tools/stage3_1_runtime_refresh.py; tools/visualize_graph.py,Global random seed for reproducible runs.
sync_stats.alignment_gate.candidate_node_fields,sync_stats,eopkg,sync_stats,22,project_setup,Project Setup,Structure / Stats Source,always,,,,['id'],src/domain/services/activity_topology_alignment_service.py; tools/sync_stats.py,Ordered topology node fields used as activity mapping candidates.
sync_stats.alignment_gate.collapse_separators,sync_stats,eopkg,sync_stats,26,project_setup,Project Setup,Structure / Stats Source,always,,,false|true,False,src/domain/services/activity_topology_alignment_service.py; tools/sync_stats.py,"Collapse spaces, underscores, and hyphens during normalized matching."
sync_stats.alignment_gate.enabled,sync_stats,eopkg,sync_stats,20,project_setup,Project Setup,Structure / Stats Source,always,,,false|true,True,,Enables producer-side activity-to-topology alignment gate in sync-stats.
sync_stats.alignment_gate.fail_on_ambiguity,sync_stats,eopkg,sync_stats,27,project_setup,Project Setup,Structure / Stats Source,always,,,false|true,True,src/domain/services/activity_topology_alignment_service.py; tools/sync_stats.py,Reject snapshots when an event activity can map to multiple topology nodes.
sync_stats.alignment_gate.ignore_structural_only_nodes,sync_stats,eopkg,sync_stats,23,project_setup,Project Setup,Structure / Stats Source,always,,,false|true,False,src/domain/services/activity_topology_alignment_service.py; tools/sync_stats.py,Exclude structural-only BPMN nodes from node coverage denominator.
sync_stats.alignment_gate.min_event_match_ratio,sync_stats,eopkg,sync_stats,29,project_setup,Project Setup,Structure / Stats Source,always,,,,0.6,src/domain/services/activity_topology_alignment_service.py; tools/sync_stats.py; tools/sync_stats_backfill.py,Minimal ratio of runtime events whose activity ids match topology nodes.
sync_stats.alignment_gate.min_node_coverage,sync_stats,eopkg,sync_stats,31,project_setup,Project Setup,Structure / Stats Source,always,,,,0.0,src/domain/services/activity_topology_alignment_service.py; tools/sync_stats.py; tools/sync_stats_backfill.py,Minimal topology node coverage by matched runtime activities.
sync_stats.alignment_gate.min_unique_activity_coverage,sync_stats,eopkg,sync_stats,30,project_setup,Project Setup,Structure / Stats Source,always,,,,0.6,src/domain/services/activity_topology_alignment_service.py; tools/sync_stats.py; tools/sync_stats_backfill.py,Minimal coverage of unique runtime activities by topology nodes.
sync_stats.alignment_gate.normalize_case,sync_stats,eopkg,sync_stats,25,project_setup,Project Setup,Structure / Stats Source,always,,,false|true,False,src/domain/services/activity_topology_alignment_service.py; tools/sync_stats.py,Use case-insensitive candidate matching after exact matching.
sync_stats.alignment_gate.on_fail,sync_stats,eopkg,sync_stats,32,project_setup,Project Setup,Structure / Stats Source,always,,,write_with_flag|skip_snapshot|raise,write_with_flag,src/cli.py; src/domain/services/dynamic_graph_builder.py; tools/sync_stats.py,Action when producer alignment thresholds are not met.
sync_stats.alignment_gate.profile,sync_stats,eopkg,sync_stats,21,project_setup,Project Setup,Structure / Stats Source,always,,,legacy_exact|safe_normalized|research_strict,legacy_exact,src/domain/services/activity_topology_alignment_service.py,Matching profile for activity-to-topology alignment.
sync_stats.alignment_gate.strip_classifier_suffix,sync_stats,eopkg,sync_stats,24,project_setup,Project Setup,Structure / Stats Source,always,,,false|true,False,src/domain/services/activity_topology_alignment_service.py; tools/sync_stats.py,Strip lifecycle classifier suffixes such as +complete or ::complete before matching.
sync_stats.alignment_gate.warn_on_fail,sync_stats,eopkg,sync_stats,28,project_setup,Project Setup,Structure / Stats Source,always,,,false|true,True,src/domain/services/dynamic_graph_builder.py; tools/sync_stats.py,Emit warning when producer alignment gate fails.
sync_stats.confidence_weights.coverage,sync_stats,input,advanced,1000,project_setup,Project Setup,Structure / Stats Source,always,,,,,src/adapters/ingestion/camunda_runtime_adapter.py; src/application/services/instance_graph_assembler_service.py; src/application/use_cases/trainer.py; src/domain/entities/runtime_fetch_diagnostics.py; src/domain/services/activity_topology_alignment_service.py; src/domain/services/dynamic_graph_builder.py; tools/experiment_ui.py; tools/stage3_1_runtime_refresh.py; tools/sync_stats.py; tools/sync_stats_backfill.py,sync-stats snapshot generation parameter.
sync_stats.confidence_weights.freshness,sync_stats,input,advanced,1000,project_setup,Project Setup,Structure / Stats Source,always,,,,,src/application/services/instance_graph_assembler_service.py; tools/experiment_ui.py; tools/sync_stats.py,sync-stats snapshot generation parameter.
sync_stats.confidence_weights.sample_size,sync_stats,input,advanced,1000,project_setup,Project Setup,Structure / Stats Source,always,,,,,src/application/services/instance_graph_assembler_service.py; tools/experiment_ui.py; tools/sync_stats.py,sync-stats snapshot generation parameter.
sync_stats.enabled,sync_stats,input,advanced,1000,project_setup,Project Setup,Structure / Stats Source,always,,,,,tools/experiment_ui.py; tools/sync_stats.py,sync-stats snapshot generation parameter.
sync_stats.freshness_half_life_days,sync_stats,input,advanced,1000,project_setup,Project Setup,Structure / Stats Source,always,,,,,tools/experiment_ui.py; tools/sync_stats.py,sync-stats snapshot generation parameter.
sync_stats.process_filters,sync_stats,input,advanced,1000,project_setup,Project Setup,Structure / Stats Source,always,,,,,src/adapters/ingestion/camunda_bpmn_adapter.py; src/application/services/bpmn_structure_parser_service.py; src/domain/ports/camunda_bpmn_port.py; tools/experiment_ui.py; tools/ingest_topology.py; tools/simulate_versioned_log.py; tools/sync_stats.py; tools/sync_stats_backfill.py; tools/sync_topology.py,sync-stats snapshot generation parameter.
sync_stats.process_scope_policy,sync_stats,input,advanced,1000,project_setup,Project Setup,Structure / Stats Source,always,,,,,tools/experiment_ui.py; tools/sync_stats.py,sync-stats snapshot generation parameter.
sync_stats.quality_gate.enabled,sync_stats,eopkg,sync_stats,10,project_setup,Project Setup,Structure / Stats Source,always,,,false|true,True,,Enables producer-side quality gate in sync-stats.
sync_stats.quality_gate.min_history_coverage_percent,sync_stats,eopkg,sync_stats,15,project_setup,Project Setup,Structure / Stats Source,always,,,,0.0,src/domain/services/dynamic_graph_builder.py; tools/sync_stats.py,Minimal history coverage required by producer gate.
sync_stats.quality_gate.min_non_zero_ratio_overall,sync_stats,eopkg,sync_stats,14,project_setup,Project Setup,Structure / Stats Source,always,,,,0.0,src/domain/services/dynamic_graph_builder.py; tools/sync_stats.py,Minimal overall non-zero ratio required by producer gate.
sync_stats.quality_gate.on_fail,sync_stats,eopkg,sync_stats,11,project_setup,Project Setup,Structure / Stats Source,always,,,write_with_flag|skip_snapshot,write_with_flag,src/cli.py; src/domain/services/dynamic_graph_builder.py; tools/sync_stats.py,Action when producer quality thresholds are not met.
sync_stats.quality_gate.warn_on_fail,sync_stats,eopkg,sync_stats,12,project_setup,Project Setup,Structure / Stats Source,always,,,false|true,True,src/domain/services/dynamic_graph_builder.py; tools/sync_stats.py,Emit warning when producer quality gate fails.
sync_stats.quality_gate.zero_dominant_threshold,sync_stats,eopkg,sync_stats,13,project_setup,Project Setup,Structure / Stats Source,always,,,,0.95,src/domain/services/dynamic_graph_builder.py; tools/sync_stats.py,Threshold above which snapshot is considered zero-dominant.
sync_stats.show_progress,sync_stats,input,advanced,1000,project_setup,Project Setup,Structure / Stats Source,always,,,,,src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py; tools/sync_stats.py,sync-stats snapshot generation parameter.
sync_stats.stats_time_policy,sync_stats,input,advanced,1000,project_setup,Project Setup,Structure / Stats Source,always,,,,,src/application/use_cases/trainer.py; src/cli.py; src/domain/services/dynamic_graph_builder.py; tools/experiment_ui.py; tools/sync_stats.py,sync-stats snapshot generation parameter.
sync_stats.tenant_filters,sync_stats,input,advanced,1000,project_setup,Project Setup,Structure / Stats Source,always,,,,,src/adapters/ingestion/camunda_bpmn_adapter.py; tools/experiment_ui.py; tools/sync_stats.py; tools/sync_stats_backfill.py; tools/sync_topology.py,sync-stats snapshot generation parameter.
sync_stats.windows_days,sync_stats,input,advanced,1000,project_setup,Project Setup,Structure / Stats Source,always,,,,,tools/experiment_ui.py; tools/sync_stats.py,sync-stats snapshot generation parameter.
tracking.backend,tracking,general,advanced,1000,experiment_run,Experiment Run,Frequently Changed,always,,,mlflow,mlflow,src/application/services/topology_extractor_service.py; src/cli.py; src/infrastructure/repositories/file_based_knowledge_graph_repository.py; src/infrastructure/repositories/knowledge_graph_repository_factory.py; src/infrastructure/repositories/neo4j_knowledge_graph_repository.py; tools/experiment_ui.py; tools/ingest_topology.py; tools/sync_stats.py; tools/sync_topology.py; tools/visualize_graph.py; tools/visualize_topology.py,Tracking backend. Current supported value in this UI is mlflow.
tracking.enabled,tracking,general,advanced,1000,advanced,Advanced,Rarely Changed,always,,,,,tools/experiment_ui.py,Experiment tracking parameter.
tracking.tags.model_family,tracking,general,advanced,1000,advanced,Advanced,Rarely Changed,always,,,,,src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py,Experiment tracking parameter.
tracking.tags.stage,tracking,general,advanced,1000,advanced,Advanced,Rarely Changed,always,,,,,src/application/services/structural_trace_payload_builder.py; src/application/services/trace_sampling_policy.py; src/application/use_cases/trainer.py; src/cli.py; src/infrastructure/repositories/knowledge_graph_repository_factory.py; src/infrastructure/runtime/progress_events.py; tools/experiment_ui.py; tools/stage3_1_runtime_refresh.py,Experiment tracking parameter.
tracking.tracing.allow_nonzero_rank_fallback,tracking,general,advanced,1021,advanced,Advanced,Rarely Changed,always,,,false|true,False,src/cli.py; src/infrastructure/tracking/mlflow_trace_recorder.py,Allow nonzero distributed ranks to write separate JSONL fallback files.
tracking.tracing.enabled,tracking,general,advanced,1010,advanced,Advanced,Rarely Changed,always,,,false|true,False,,Enable selective structural prediction traces for qualitative debugging.
tracking.tracing.high_confidence_threshold,tracking,general,advanced,1017,advanced,Advanced,Rarely Changed,always,,,,0.8,src/application/services/trace_sampling_policy.py; src/application/use_cases/trainer.py,Confidence threshold for high-confidence error traces.
tracking.tracing.log_json_artifact_fallback,tracking,general,advanced,1020,advanced,Advanced,Rarely Changed,always,,,false|true,True,src/cli.py,Write trace events to a rank/PID-scoped JSONL fallback and log it as an artifact.
tracking.tracing.low_confidence_threshold,tracking,general,advanced,1018,advanced,Advanced,Rarely Changed,always,,,,0.4,src/application/services/trace_sampling_policy.py; src/application/use_cases/trainer.py,Confidence threshold for low-confidence correct traces.
tracking.tracing.max_traces_per_run,tracking,general,advanced,1013,advanced,Advanced,Rarely Changed,always,,,,80,src/application/services/trace_sampling_policy.py,Hard limit for recorded trace events in one run.
tracking.tracing.max_traces_per_stage,tracking,general,advanced,1014,advanced,Advanced,Rarely Changed,always,,,,40,src/application/services/trace_sampling_policy.py,Per-stage limit for recorded trace events.
tracking.tracing.max_traces_per_version,tracking,general,advanced,1015,advanced,Advanced,Rarely Changed,always,,,,10,src/application/services/trace_sampling_policy.py,Per process-version limit for recorded trace events.
tracking.tracing.random_sample_rate,tracking,general,advanced,1016,advanced,Advanced,Rarely Changed,always,,,,0.0,src/application/services/trace_sampling_policy.py,Probability for random trace sampling when sample_policy=random.
tracking.tracing.sample_policy,tracking,general,advanced,1012,advanced,Advanced,Rarely Changed,always,,,interesting|random|all,interesting,src/application/services/trace_sampling_policy.py,Selects which predictions become traces.
tracking.tracing.stages,tracking,general,advanced,1011,advanced,Advanced,Rarely Changed,always,,,,"test,eval_drift_one_pass",src/application/services/trace_sampling_policy.py,Comma-separated stages where selective traces may be recorded.
tracking.tracing.top_k,tracking,general,advanced,1019,advanced,Advanced,Rarely Changed,always,,,,5,src/application/services/structural_trace_payload_builder.py; src/application/services/trace_sampling_policy.py; src/application/use_cases/trainer.py,Number of top predicted classes included in trace payload.
tracking.uri,tracking,general,advanced,1000,experiment_run,Experiment Run,Frequently Changed,always,,,,,src/application/use_cases/trainer.py; src/cli.py; src/infrastructure/config/connection_resolver.py; src/infrastructure/repositories/knowledge_graph_repository_factory.py; src/infrastructure/repositories/neo4j_knowledge_graph_repository.py; src/infrastructure/tracking/mlflow_tracker.py; tools/experiment_ui.py,Experiment tracking parameter.
training.batch_size,training,general,advanced,1000,experiment_run,Experiment Run,Frequently Changed,always,,,,,src/application/use_cases/trainer.py; src/domain/models/base_gnn.py; src/domain/models/baseline_gat.py; src/domain/models/baseline_gcn.py; src/domain/models/eopkg_models.py; src/tools/inspect_data.py; tools/experiment_ui.py,Training loop hyperparameter.
training.candidate_batch_topology_policy,training,general,advanced,1016,advanced,general,advanced,always,,training.candidate_contract_mode=candidate_id,single_topology_required|group_by_topology,single_topology_required,,Batch topology policy for candidate_id mode. single_topology_required fails mixed manual batches; group_by_topology builds topology-homogeneous batches by process version and stats snapshot.
training.candidate_contract_mode,training,general,advanced,1015,advanced,general,advanced,always,,model.type=EOPKGTopologyConditioned,fixed_label|fixed_projection|candidate_id,fixed_label,,Prediction/loss contract. fixed_label uses the legacy fixed activity head; fixed_projection uses dynamic candidates projected back to fixed labels; candidate_id requires topology-homogeneous batches and is reserved for true candidate-level training/evaluation.
training.candidate_identity_mode,training,general,advanced,1017,advanced,general,advanced,always,,training.candidate_contract_mode=candidate_id,fixed_vocab_bridge|topology_native,topology_native,,Candidate identity contract for candidate_id mode. topology_native scores candidates from the current BPMN topology and maps unknown train-vocab labels as candidate_class_index=-1; fixed_vocab_bridge keeps legacy compatibility behavior.
training.candidate_missing_target_fail_threshold,training,general,advanced,1018,advanced,general,advanced,always,,training.candidate_contract_mode=candidate_id,,0.1,,Maximum allowed missing-target rate for candidate_id training before failing as a log/topology mapping error.
training.class_weight_cap,training,general,advanced,1000,advanced,Advanced,Rarely Changed,always,,,,,src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py,Training loop hyperparameter.
training.dataloader_num_workers,training,general,advanced,1000,advanced,Advanced,Rarely Changed,always,,,,0,src/application/use_cases/trainer.py; src/cli.py; tools/experiment_ui.py,Кількість паралельних воркерів для підготовки batch під час train/val/test. 0 = без мультипроцесності.
